NIT,NOMBRE/RAZON_SOCIAL,PAIS,DIRECCION,EMAIL,ESTADO,TIPO_TERCERO,DV
9001234501,ALFA COMERCIAL SAS,COLOMBIA,Calle 10 # 20-30,contacto@alfa.com,ACTIVO,CLIENTE,1
9001234502,BETA SUMINISTROS SAS,COLOMBIA,Cra 25 # 40-50,ventas@beta.com,INACTIVO,PROVEEDOR,5
9001234503,GAMMA SERVICIOS S.A.S,COLOMBIA,Av 7 # 12-80,info@gamma.com,ACTIVE,CLIENTE;PROVEEDOR,2
9001234504,DELTA LOGISTICA LTDA,COLOMBIA,Calle 45 # 18-22,delta@logistica.com,INACTIVE,ACREEDOR,8
9001234505,EPSILON CONSULTING SAS,COLOMBIA,Cra 9 # 100-15,admin@epsilon.com,ACTIVO,DEUDOR,3
9001234506,ZETA INDUSTRIAL SAS,COLOMBIA,KM 5 Via Norte,zeta@industrial.com,ACTIVO,CLIENTE|PROVEEDOR,7
9001234507,ETA SOLUCIONES TEC SAS,COLOMBIA,Calle 80 # 11-40,soporte@eta.com,INACTIVO,EMPLEADO,4
9001234508,THETA IMPORTACIONES SAS,COLOMBIA,Cra 60 # 30-10,theta@import.com,ACTIVE,PROVEEDOR,6
9001234509,IOTA RETAIL SAS,COLOMBIA,Calle 122 # 15-99,ventas@iota.com,ACTIVO,CLIENTE,9
9001234510,KAPPA ENERGIA SAS,COLOMBIA,Av 68 # 26-35,contacto@kappa.com,ACTIVE,ACREEDOR;DEUDOR,0
